question,answer
What are your working hours?,We are open from 9 AM to 6 PM.
How do I reset my password?,Click on ‘Forgot Password’ on the login page.
Where is your office located?,We are based in New York.
How can I contact support?,You can email us at support@example.com.
What payment methods do you accept?,"We accept credit cards, PayPal and bank transfers."
Do you have a refund policy?,"Yes,  we offer a 30-day money-back guarantee."
How do I update my account details?,Go to your account settings and update your details.
Can I cancel my subscription?,"Yes,  you can cancel anytime from the settings page."
Do you offer customer support on weekends?,"No,  we only provide support from Monday to Friday."
How long does shipping take?,Shipping takes 3-5 business days.
